TE_18 w,TE_18 D,TE_22 w,TE_22 D,TM_18 w,TM_18 D,TM_22 w,TM_22 D
803239536113571.4,-5.900157419354841e-05,755676283767305.5,-5.330529032258067e-05,1011544077275160.6,-5.908882580645164e-05,991099467144423.0,-5.916527483870967e-05
806589719031694.4,-5.7032180645161304e-05,759202682030500.4,-5.243050791788857e-05,1013749339411570.5,-5.7304223655914e-05,993959867281126.6,-5.6855184516129044e-05
810179770728170.6,-5.483981075268818e-05,763327259284085.1,-5.1433346627566006e-05,1015628858595980.1,-5.520227096774195e-05,996515820154256.2,-5.467638709677422e-05
813801950131218.1,-5.265713548387097e-05,767496897141104.9,-5.043618533724341e-05,1018184402915551.5,-5.271411612903228e-05,999084628998028.6,-5.2420309677419365e-05
817240730268568.0,-5.058802580645164e-05,771711795368027.0,-4.922146158357773e-05,1020864153204592.1,-4.9968361290322604e-05,1001342599250547.2,-5.029718709677419e-05
820926613730994.1,-4.8457978494623686e-05,775972900586808.1,-4.7870761290322605e-05,1023492543470366.8,-4.775110193548389e-05,1003287227499603.9,-4.8734967741935515e-05
824865807529616.1,-4.623098494623659e-05,780281416021882.5,-4.6556321407624635e-05,1026609000146563.6,-4.487642838709678e-05,1005564783349293.2,-4.673649032258066e-05
828843019713676.1,-4.4015070967741935e-05,784637926952838.9,-4.519655601173022e-05,1028924450906644.4,-4.269691870967742e-05,1008180687714382.4,-4.452029935483872e-05
832858674576477.8,-4.1765918279569914e-05,789042743405904.0,-4.36010979472141e-05,1032189304335753.4,-3.987447741935486e-05,1010810340884273.1,-4.232820645161291e-05
836913592232240.1,-3.957216344086024e-05,793497223035895.9,-4.197844457478007e-05,1034482530483259.4,-3.740412903225808e-05,1013453240217610.1,-4.0018116129032275e-05
841236941602760.9,-3.729088000000001e-05,798002258872254.8,-4.034672609970676e-05,1037599034455695.8,-3.505296516129033e-05,1016110154333982.2,-3.774458838709679e-05
845836439310501.9,-3.4917636129032274e-05,802558814337666.0,-3.874220293255135e-05,1039335217072053.8,-3.300949677419356e-05,1018781231118281.0,-3.55159329032258e-05
850252845284891.8,-3.2680670967741944e-05,807167728803858.8,-3.71467448680352e-05,1042480430722801.4,-3.0517305806451616e-05,1021466496932264.1,-3.331220645161292e-05
854479503895820.0,-3.054231397849463e-05,811829934990424.0,-3.556941700879767e-05,1044937441691718.9,-2.8041496774193546e-05,1024166547050769.6,-3.124309677419356e-05
858987056717160.9,-2.836628645161292e-05,816546337252616.0,-3.400115425219943e-05,1047761680626082.1,-2.5648309677419374e-05,1027221125464309.0,-2.8894781935483876e-05
863783690753592.5,-2.6132645161290327e-05,821317911736577.9,-3.245102170087978e-05,1050601161683773.4,-2.324087741935486e-05,1030293712933273.2,-2.6486637419354848e-05
868634194975098.6,-2.3899003870967758e-05,826145606324119.1,-3.090995425219944e-05,1054173826019543.5,-2.057465806451614e-05,1033040091790111.9,-2.428291096774194e-05
873292764924148.4,-2.173405591397852e-05,831030390720064.9,-2.9368886803519073e-05,1057047543237989.2,-1.8023587096774208e-05,1036148125777780.8,-2.1982459870967743e-05
878001869975096.4,-1.9661068387096774e-05,835973389762845.6,-2.7864079765395897e-05,1059938037984076.4,-1.5699251612903225e-05,1039274214278981.4,-1.9526451612903228e-05
883014224438571.2,-1.7547086451612928e-05,840975542933344.6,-2.635927272727275e-05,1062844479670417.6,-1.3395096774193547e-05,1042419903656383.5,-1.722001754838712e-05
888084202630207.0,-1.5453047741935506e-05,846038081564487.1,-2.490885630498536e-05,1065766712584356.0,-1.1050580645161304e-05,1045583807827025.0,-1.4720134193548404e-05
893471163451298.4,-1.3387110850439895e-05,851161858158685.9,-2.3431244574780096e-05,1068705178101642.9,-8.730993548387132e-06,1048768446446382.8,-1.2539342451612896e-05
898586624775040.2,-1.1004283870967753e-05,856348074139233.9,-2.1953632844574797e-05,1071659966162328.6,-6.42683870967744e-06,1052329742025820.1,-1.0111587096774215e-05
903385953739809.6,-9.3531401759531e-06,861598075164914.2,-2.05394768328446e-05,1074631419865213.9,-4.18085161290324e-06,1055915051567414.1,-7.629320258064538e-06
909228031972532.5,-7.2228410557184754e-06,866912959630559.9,-1.9161581231671562e-05,1077994394657495.6,-1.7221367741935722e-06,1059162062725615.5,-5.242116129032268e-06
915146161925976.2,-5.0925419354838796e-06,872293735586027.1,-1.7756490322580644e-05,1081377974501684.1,8.405677419354731e-07,1062430679710477.4,-3.1879638709677633e-06
921141773946257.4,-2.9441126099706877e-06,877741899294835.2,-1.6405790029325545e-05,1084404347505119.1,2.9429161290322412e-06,1066085232498006.0,-6.983845161290531e-07
927216987291652.1,-9.407249266862152e-07,883258546915336.1,-1.5055089736070399e-05,1087829247583192.4,5.3244696774193444e-06,1069394955271773.0,1.738012903225794e-06
933936184665101.0,1.344688172043007e-06,888845037885204.9,-1.3722519648093851e-05,1091276107084358.2,7.654503225806437e-06,1072727125330020.0,3.7941594838709702e-06
939610934327336.2,3.093245747800566e-06,894502737409313.6,-1.2417144868035208e-05,1094744545510422.4,1.0051014193548383e-05,1076453748994736.5,6.125522580645153e-06
945933453314150.6,4.987852199413467e-06,900232984942494.9,-1.1129900293255148e-05,1098234925617339.6,1.2482425806451601e-05,1080583730742549.1,8.551948387096757e-06
952341807711484.4,6.837133137829909e-06,906037340751265.1,-9.906111436950155e-06,1101356016188474.6,1.4684490322580642e-05,1088555350819474.6,1.3494544516129011e-05
